Symbol,Date,Expiry,Strike Price,LTP,Settle Price,Spot Price,Time
NIFTY,,,,2100.25,346.65,,
NIFTY,,,,2037.2425,280.1,,
NIFTY,,,,1976.125225,214.45,,
NIFTY,,,,1916.841468,153.65,,
NIFTY,,,,1859.336224,112.2,,
NIFTY,,,,1803.556137,73.25,,
NIFTY,,,,1749.449453,47.6,,
NIFTY,,,,1696.96597,29.85,,
NIFTY,,,,1646.056991,18.2,,
NIFTY,,,,1596.675281,13.45,,
NIFTY,,,,1548.775023,8.25,,
NIFTY,,,,1641.701524,5.35,,
NIFTY,,,,1740.203615,3.8,,
NIFTY,,,,1844.615832,4,,
NIFTY,,,,1955.292782,2.1,,
NIFTY,,,,2072.610349,0.3,,
NIFTY,,,,2196.96697,0.15,,
