Symbol,Date,Expiry,Strike Price,LTP,Settle Price,Spot Price,Time
NIFTY,,,11000,940.8,940.55,"11,916.75",
NIFTY,,,11050,0,910.45,"11,916.75",
NIFTY,,,11100,849.7,849.7,"11,916.75",
NIFTY,,,11150,755.5,812.7,"11,916.75",
NIFTY,,,11200,742,742,"11,916.75",
NIFTY,,,11250,589.05,716.5,"11,916.75",
NIFTY,,,11300,650,650,"11,916.75",
NIFTY,,,11350,0,622.65,"11,916.75",
NIFTY,,,11400,562,562,"11,916.75",
NIFTY,,,11450,0,532.2,"11,916.75",
NIFTY,,,11500,477.5,478.15,"11,916.75",
NIFTY,,,11550,436.15,446.4,"11,916.75",
NIFTY,,,11600,393.15,394.15,"11,916.75",
NIFTY,,,11650,355.5,355.5,"11,916.75",
NIFTY,,,11700,312.25,315.05,"11,916.75",
NIFTY,,,11750,275,276.5,"11,916.75",
NIFTY,,,11800,242.25,242.4,"11,916.75",
NIFTY,,,11850,207.25,209.55,"11,916.75",
NIFTY,,,11900,177.9,179.7,"11,916.75",
NIFTY,,,11950,150.75,151.5,"11,916.75",
NIFTY,,,12000,126,126.65,"11,916.75",
NIFTY,,,12050,102,103.45,"11,916.75",
NIFTY,,,12100,80.8,82.3,"11,916.75",
NIFTY,,,12150,64.6,64.9,"11,916.75",
NIFTY,,,12200,49.6,50.7,"11,916.75",
NIFTY,,,12250,36.65,37.95,"11,916.75",
NIFTY,,,12300,28.5,29.3,"11,916.75",
NIFTY,,,12350,19.9,21.05,"11,916.75",
NIFTY,,,12400,15.15,15.45,"11,916.75",
NIFTY,,,12450,15,15,"11,916.75",
NIFTY,,,12500,8.95,9.25,"11,916.75",
NIFTY,,,12550,69.8,18,"11,916.75",
NIFTY,,,12600,5.6,5.55,"11,916.75",
NIFTY,,,12650,0,10.95,"11,916.75",
NIFTY,,,12700,4,4,"11,916.75",
NIFTY,,,12750,5,6.45,"11,916.75",
NIFTY,,,12800,3,2.8,"11,916.75",
NIFTY,,,12850,0,3.65,"11,916.75",
NIFTY,,,12900,2.65,2.4,"11,916.75",
NIFTY,,,12950,4,2,"11,916.75",
NIFTY,,,13000,2.95,2.85,"11,916.75",
